Data e Hora,Velocidade do Vento,Direção do Vento,Temperatura,Umidade Relativa,Precipitação,Pressão Atmosférica,Radiação Solar,PM2.5,PM10,Dióxido de Enxofre,Monóxido de Carbono,Ozônio,Monóxido de Nitrogênio,Óxidos de Nitrogênio,Dióxido de Nitrogênio,HCT,Metano,HCNM,Monóxido de Carbono Média Móvel,Data.1,Hora.1,Média Horária
2010-01-05 12:00:00,InVld,InVld,InVld,InVld,InVld,,,,25,0,InVld,40.8,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 13:00:00,InVld,InVld,InVld,InVld,InVld,,,,14,0,Alarm,41.8,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 14:00:00,InVld,InVld,InVld,InVld,InVld,,,,8,0,Alarm,31.7,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 15:00:00,InVld,InVld,InVld,InVld,InVld,,,,23,0,Alarm,32.5,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 16:00:00,InVld,InVld,InVld,InVld,InVld,,,,37,0,Alarm,33.5,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 17:00:00,InVld,InVld,InVld,InVld,InVld,,,,19,0,Alarm,32.7,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 18:00:00,InVld,InVld,InVld,InVld,InVld,,,,16,0,Alarm,35.3,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 19:00:00,InVld,InVld,InVld,InVld,InVld,,,,9,0,Alarm,22,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 20:00:00,InVld,InVld,InVld,InVld,InVld,,,,16,0,Alarm,19,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 21:00:00,InVld,InVld,InVld,InVld,InVld,,,,9,0,Alarm,17.7,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 22:00:00,InVld,InVld,InVld,InVld,InVld,,,,15,0,Alarm,14.7,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 23:00:00,InVld,InVld,InVld,InVld,InVld,,,,7,0,Alarm,12.6,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 00:00:00,InVld,InVld,InVld,InVld,InVld,,,,14,0,Alarm,9.9,Alarm,Alarm,Alarm,,,,,,,
2010-01-06 01:00:00,InVld,InVld,InVld,InVld,InVld,,,,7,0,Alarm,9.2,Alarm,Alarm,Alarm,,,,,,,
2010-01-06 02:00:00,InVld,InVld,InVld,InVld,InVld,,,,6,0,Alarm,23.3,Alarm,Alarm,Alarm,,,,,,,
2010-01-06 03:00:00,InVld,InVld,InVld,InVld,InVld,,,,3,0,Alarm,22.8,Alarm,Alarm,Alarm,,,,,,,
2010-01-06 04:00:00,InVld,InVld,InVld,InVld,InVld,,,,4,0,Alarm,24.4,Alarm,Alarm,Alarm,,,,,,,
2010-01-06 05:00:00,InVld,InVld,InVld,InVld,InVld,,,,2,0,Alarm,18.7,Alarm,Alarm,Alarm,,,,,,,
2010-01-06 06:00:00,InVld,InVld,InVld,InVld,InVld,,,,1,0,Alarm,16.1,Alarm,Alarm,Alarm,,,,,,,
2010-01-06 07:00:00,InVld,InVld,InVld,InVld,InVld,,,,15,0,Alarm,6.8,Alarm,Alarm,Alarm,,,,,,,
2010-01-06 08:00:00,InVld,InVld,InVld,InVld,InVld,,,,10,0,Alarm,6.5,Alarm,Alarm,Alarm,,,,,,,
